Time,H1,H2,T1,T2
125,80.0,100.0,35.59,20.29
126,80.0,100.0,35.63,20.19
127,80.0,100.0,35.72,20.35
128,80.0,100.0,35.82,20.38
129,80.0,100.0,36.01,20.48
130,80.0,100.0,36.04,20.32
131,80.0,100.0,36.04,20.38
132,80.0,100.0,36.24,20.74
133,80.0,100.0,36.33,20.77
134,80.0,100.0,36.37,20.67
135,80.0,100.0,36.5,20.87
136,80.0,100.0,36.59,20.87
137,80.0,100.0,36.66,21.06
138,80.0,100.0,36.72,21.19
139,80.0,100.0,36.75,21.06
140,80.0,100.0,36.92,21.32
141,80.0,100.0,37.01,21.25
142,80.0,100.0,37.01,21.29
143,80.0,100.0,37.08,21.41
144,80.0,100.0,37.14,21.54
145,80.0,100.0,37.21,21.61
146,80.0,100.0,37.33,21.74
147,80.0,100.0,37.33,21.7
148,80.0,100.0,37.33,22.03
149,80.0,100.0,37.43,22.22
150,80.0,100.0,37.56,21.99
151,80.0,100.0,37.62,22.25
152,80.0,100.0,37.59,22.32
153,80.0,100.0,37.66,22.51
154,80.0,100.0,37.66,22.45
155,80.0,100.0,37.75,22.67
156,80.0,100.0,37.88,22.77
157,80.0,100.0,37.95,22.7
158,80.0,100.0,37.88,22.77
159,80.0,100.0,37.98,23.06
160,80.0,100.0,37.98,23.12
161,80.0,100.0,38.11,22.96
162,80.0,100.0,38.17,23.09
163,80.0,100.0,38.2,23.25
164,80.0,100.0,38.24,23.38
165,80.0,100.0,38.3,23.32
166,80.0,100.0,38.3,23.64
167,80.0,100.0,38.33,23.77
168,80.0,100.0,38.33,23.9
169,80.0,100.0,38.49,23.93
170,80.0,100.0,38.56,23.8
171,80.0,100.0,38.59,23.99
172,80.0,100.0,38.66,23.99
173,80.0,100.0,38.62,24.22
174,80.0,100.0,38.66,24.28
175,80.0,100.0,38.82,24.41
176,80.0,100.0,38.85,24.35
177,80.0,100.0,38.85,24.41
178,80.0,100.0,38.95,24.41
179,80.0,100.0,38.95,24.73
180,80.0,100.0,39.01,24.8
181,80.0,100.0,39.04,24.96
182,80.0,100.0,39.07,25.06
183,80.0,100.0,39.17,25.15
184,80.0,100.0,39.24,25.25
185,80.0,100.0,39.27,25.09
186,80.0,100.0,39.27,25.25
187,80.0,100.0,39.43,25.51
188,80.0,100.0,39.4,25.6
189,80.0,100.0,39.49,25.44
190,80.0,100.0,39.53,25.54
191,80.0,100.0,39.59,25.6
192,80.0,100.0,39.62,25.67
193,80.0,100.0,39.59,25.96
194,80.0,100.0,39.65,25.99
195,80.0,100.0,39.65,26.12
196,80.0,100.0,39.78,26.22
197,80.0,100.0,39.85,26.15
198,80.0,100.0,39.88,26.34
199,80.0,100.0,39.91,26.47
200,20.0,100.0,39.91,26.54
201,20.0,100.0,39.91,26.44
202,20.0,100.0,39.91,26.63
203,20.0,100.0,39.94,26.7
204,20.0,100.0,39.94,26.73
205,20.0,100.0,39.94,26.57
206,20.0,100.0,39.94,26.96
207,20.0,100.0,39.94,26.96
208,20.0,100.0,39.94,27.05
209,20.0,100.0,39.94,26.92
210,20.0,100.0,39.98,27.21
211,20.0,100.0,39.91,27.5
212,20.0,100.0,39.91,27.5
213,20.0,100.0,39.91,27.34
214,20.0,100.0,39.91,27.86
215,20.0,100.0,39.91,27.92
216,20.0,100.0,39.91,27.76
217,20.0,100.0,39.91,27.83
218,20.0,100.0,39.82,28.18
219,20.0,100.0,39.69,27.92
220,20.0,100.0,39.65,28.28
221,20.0,100.0,39.62,28.37
222,20.0,100.0,39.59,28.6
223,20.0,100.0,39.59,28.41
224,20.0,100.0,39.53,28.83
225,20.0,100.0,39.56,28.76
226,20.0,100.0,39.36,28.86
227,20.0,100.0,39.4,28.99
228,20.0,100.0,39.27,29.28
229,20.0,100.0,39.3,29.25
230,20.0,100.0,39.27,29.44
231,20.0,100.0,39.24,29.5
232,20.0,100.0,39.2,29.63
233,20.0,100.0,39.01,29.7
234,20.0,100.0,38.98,29.63
235,20.0,100.0,38.95,29.79
236,20.0,100.0,38.95,30.12
237,20.0,100.0,38.88,30.18
238,20.0,100.0,38.72,30.34
239,20.0,100.0,38.66,30.21
240,20.0,100.0,38.62,30.28
241,20.0,100.0,38.62,30.37
242,20.0,100.0,38.62,30.5
243,20.0,100.0,38.46,30.76
244,20.0,100.0,38.33,30.6
245,20.0,100.0,38.33,30.79
246,20.0,100.0,38.3,30.99
247,20.0,100.0,38.3,31.08
248,20.0,100.0,38.27,31.08
249,20.0,100.0,38.04,31.08
250,20.0,100.0,38.01,31.15
251,20.0,100.0,38.01,31.34
252,20.0,100.0,37.98,31.5
253,20.0,100.0,37.98,31.82
254,20.0,100.0,37.82,31.89
255,20.0,100.0,37.72,31.79
256,20.0,100.0,37.66,32.05
257,20.0,100.0,37.66,32.15
258,20.0,100.0,37.66,32.15
259,20.0,100.0,37.66,32.34
260,20.0,100.0,37.66,32.18
261,20.0,100.0,37.46,32.37
262,20.0,100.0,37.37,32.53
263,20.0,100.0,37.37,32.37
264,20.0,100.0,37.33,32.56
265,20.0,100.0,37.27,32.76
266,20.0,100.0,37.17,32.98
267,20.0,100.0,37.01,32.85
268,20.0,100.0,37.04,32.85
269,20.0,100.0,37.01,33.18
270,20.0,100.0,37.01,33.21
271,20.0,100.0,36.95,33.34
272,20.0,100.0,36.82,33.34
273,20.0,100.0,36.72,33.56
274,20.0,100.0,36.72,33.34
275,20.0,100.0,36.69,33.69
276,20.0,100.0,36.69,33.53
277,20.0,100.0,36.69,33.82
278,20.0,100.0,36.53,33.76
279,20.0,100.0,36.46,33.79
280,70.0,100.0,36.53,33.76
281,70.0,100.0,36.37,34.21
282,70.0,100.0,36.37,34.08
283,70.0,100.0,36.37,34.24
284,70.0,100.0,36.33,34.21
285,70.0,100.0,36.21,34.18
286,70.0,100.0,36.21,34.5
287,70.0,100.0,36.21,34.56
288,70.0,100.0,36.21,34.47
289,70.0,100.0,36.17,34.59
290,70.0,100.0,36.24,34.63
291,70.0,100.0,36.17,34.76
292,70.0,100.0,36.21,34.82
293,70.0,100.0,36.24,34.82
294,70.0,100.0,36.27,35.05
295,70.0,100.0,36.27,35.08
296,70.0,100.0,36.27,34.82
297,70.0,100.0,36.37,34.79
298,70.0,100.0,36.37,34.95
299,70.0,100.0,36.37,34.95
300,70.0,100.0,36.37,35.08
301,70.0,100.0,36.4,35.24
302,70.0,100.0,36.4,35.11
303,70.0,100.0,36.4,35.24
304,70.0,100.0,36.5,35.11
305,70.0,100.0,36.43,35.14
306,70.0,100.0,36.56,35.4
307,70.0,100.0,36.66,35.34
308,70.0,100.0,36.69,35.27
309,70.0,100.0,36.75,35.3
310,70.0,100.0,36.72,35.3
311,70.0,100.0,36.79,35.56
312,70.0,100.0,36.75,35.43
313,70.0,100.0,36.85,35.66
314,70.0,100.0,37.01,35.27
315,70.0,100.0,36.98,35.43
316,70.0,100.0,36.98,35.34
317,70.0,100.0,37.01,35.5
318,70.0,100.0,37.01,35.5
319,70.0,100.0,37.01,35.59
320,70.0,10.0,37.04,35.21
321,70.0,10.0,37.08,35.27
322,70.0,10.0,37.17,35.34
323,70.0,10.0,37.17,35.3
324,70.0,10.0,37.33,35.34
325,70.0,10.0,37.33,35.24
326,70.0,10.0,37.33,35.24
327,70.0,10.0,37.33,35.37
328,70.0,10.0,37.43,35.21
329,70.0,10.0,37.56,35.4
330,70.0,10.0,37.59,35.21
331,70.0,10.0,37.59,35.24
332,70.0,10.0,37.66,35.08
333,70.0,10.0,37.66,35.08
334,70.0,10.0,37.69,35.11
335,70.0,10.0,37.82,35.21
336,70.0,10.0,37.95,35.17
337,70.0,10.0,37.98,35.14
338,70.0,10.0,37.98,35.01
339,70.0,10.0,38.01,34.85
340,70.0,10.0,38.11,34.76
341,70.0,10.0,38.24,34.76
342,70.0,10.0,38.3,34.85
343,70.0,10.0,38.33,34.82
344,70.0,10.0,38.43,34.76
345,70.0,10.0,38.62,34.72
346,70.0,10.0,38.59,34.59
347,70.0,10.0,38.66,34.69
348,70.0,10.0,38.69,34.56
349,70.0,10.0,38.88,34.53
350,70.0,10.0,38.91,34.47
351,70.0,10.0,38.95,34.43
352,70.0,10.0,39.01,34.56
353,70.0,10.0,39.14,34.5
354,70.0,10.0,39.27,34.43
355,70.0,10.0,39.27,34.37
356,70.0,10.0,39.33,34.47
357,70.0,10.0,39.49,34.18
358,70.0,10.0,39.59,34.3
359,70.0,10.0,39.59,34.24
360,70.0,10.0,39.62,34.24
361,70.0,10.0,39.65,34.11
362,70.0,10.0,39.78,34.14
363,70.0,10.0,39.88,33.98
364,70.0,10.0,39.91,33.89
365,70.0,10.0,39.94,33.92
366,70.0,10.0,40.01,33.82
367,70.0,10.0,40.17,33.89
368,70.0,10.0,40.23,33.79
369,70.0,10.0,40.23,33.72
370,70.0,10.0,40.4,33.79
371,70.0,10.0,40.43,33.76
372,70.0,10.0,40.56,33.72
373,70.0,10.0,40.56,33.79
374,70.0,10.0,40.59,33.66
375,70.0,10.0,40.65,33.69
376,70.0,10.0,40.78,33.5
377,70.0,10.0,40.88,33.47
378,70.0,10.0,40.91,33.56
379,70.0,10.0,40.91,33.47
380,70.0,10.0,41.07,33.43
381,70.0,10.0,41.17,33.5
382,70.0,10.0,41.2,33.31
383,70.0,10.0,41.2,33.4
384,70.0,10.0,41.36,33.5
385,70.0,10.0,41.36,33.27
386,70.0,10.0,41.49,33.21
387,70.0,10.0,41.52,33.34
388,70.0,10.0,41.56,33.31
389,70.0,10.0,41.65,33.27
390,70.0,10.0,41.81,33.24
391,70.0,10.0,41.85,33.11
392,70.0,10.0,41.88,33.08
393,70.0,10.0,41.97,33.11
394,70.0,10.0,42.14,33.05
395,70.0,10.0,42.17,32.89
396,70.0,10.0,42.17,32.82
397,70.0,10.0,42.23,32.95
398,70.0,10.0,42.26,32.82
399,70.0,10.0,42.39,32.92
400,50.0,10.0,42.46,32.89
401,50.0,10.0,42.49,32.73
402,50.0,10.0,42.52,32.89
403,50.0,10.0,42.55,32.85
404,50.0,10.0,42.55,32.82
405,50.0,10.0,42.49,32.76
406,50.0,10.0,42.75,32.82
407,50.0,10.0,42.81,32.66
408,50.0,10.0,42.81,32.69
409,50.0,10.0,42.81,32.56
410,50.0,10.0,42.81,32.69
411,50.0,10.0,42.81,32.53
412,50.0,10.0,42.81,32.63
413,50.0,10.0,42.81,32.6
414,50.0,10.0,42.81,32.6
415,50.0,10.0,42.81,32.63
416,50.0,10.0,42.81,32.5
417,50.0,10.0,42.88,32.5
418,50.0,10.0,43.01,32.47
419,50.0,10.0,42.94,32.5
420,50.0,10.0,42.94,32.4
421,50.0,10.0,43.07,32.44
422,50.0,10.0,43.04,32.44
423,50.0,10.0,43.1,32.47
424,50.0,10.0,43.1,32.34
425,50.0,10.0,43.04,32.37
426,50.0,10.0,42.97,32.21
427,50.0,10.0,43.1,32.27
428,50.0,10.0,43.13,32.18
429,50.0,10.0,43.13,32.21
430,50.0,10.0,43.04,32.15
431,50.0,10.0,43.1,32.27
432,50.0,10.0,43.13,32.08
433,50.0,10.0,43.13,32.11
434,50.0,10.0,43.07,32.15
435,50.0,10.0,43.1,32.18
436,50.0,10.0,43.13,32.08
437,50.0,10.0,43.13,32.02
438,50.0,10.0,43.1,32.02
439,50.0,10.0,43.07,31.98
440,50.0,10.0,43.1,31.86
441,50.0,10.0,43.13,31.86
442,50.0,10.0,43.13,31.86
443,50.0,10.0,43.13,31.95
444,50.0,10.0,43.13,31.89
445,50.0,10.0,43.07,31.92
446,50.0,10.0,43.1,31.79
447,50.0,10.0,43.13,31.76
448,50.0,10.0,43.1,31.66
449,50.0,10.0,43.1,31.66
450,50.0,10.0,43.07,31.69
451,50.0,10.0,43.1,31.63
452,50.0,10.0,43.1,31.57
453,50.0,10.0,43.01,31.63
454,50.0,10.0,43.01,31.63
455,50.0,10.0,42.97,31.63
456,50.0,10.0,42.97,31.53
457,50.0,10.0,42.97,31.66
458,50.0,10.0,43.04,31.53
459,50.0,10.0,42.97,31.5
460,50.0,10.0,42.88,31.53
461,50.0,10.0,42.88,31.57
462,50.0,10.0,42.88,31.53
463,50.0,10.0,42.88,31.6
464,50.0,10.0,42.84,31.53
465,50.0,10.0,42.81,31.57
466,50.0,10.0,42.81,31.57
467,50.0,10.0,42.81,31.4
468,50.0,10.0,42.81,31.63
469,50.0,10.0,42.81,31.47
470,50.0,10.0,42.84,31.47
471,50.0,10.0,42.81,31.4
472,50.0,10.0,42.81,31.31
473,50.0,10.0,42.81,31.24
474,50.0,10.0,42.81,31.34
475,50.0,10.0,42.81,31.4
476,50.0,10.0,42.81,31.28
477,50.0,10.0,42.81,31.34
478,50.0,10.0,42.84,31.24
479,50.0,10.0,42.81,31.21
480,50.0,10.0,42.81,31.21
481,50.0,10.0,42.81,31.21
482,50.0,10.0,42.81,31.24
483,50.0,10.0,42.81,31.18
484,50.0,10.0,42.81,31.31
485,50.0,10.0,42.78,31.18
486,50.0,10.0,42.81,31.21
487,50.0,10.0,42.81,31.18
488,50.0,10.0,42.81,31.15
489,50.0,10.0,42.81,31.24
490,50.0,10.0,42.81,31.21
491,50.0,10.0,42.78,31.08
492,50.0,10.0,42.81,31.08
493,50.0,10.0,42.81,31.11
494,50.0,10.0,42.81,30.99
495,50.0,10.0,42.78,30.89
496,50.0,10.0,42.72,31.08
497,50.0,10.0,42.75,31.02
498,50.0,10.0,42.68,31.05
499,50.0,10.0,42.68,30.92
500,50.0,10.0,42.62,31.02
501,50.0,10.0,42.65,30.99
502,50.0,10.0,42.62,30.89
503,50.0,10.0,42.52,30.95
504,50.0,10.0,42.62,30.89
505,50.0,10.0,42.59,30.73
506,50.0,10.0,42.52,30.99
507,50.0,10.0,42.68,30.82
508,50.0,10.0,42.59,30.73
509,50.0,10.0,42.55,30.63
510,50.0,10.0,42.59,30.76
511,50.0,10.0,42.52,30.73
512,50.0,10.0,42.49,30.57
513,50.0,10.0,42.55,30.6
514,50.0,10.0,42.55,30.63
515,50.0,10.0,42.49,30.73
516,50.0,10.0,42.52,30.6
517,50.0,10.0,42.49,30.66
518,50.0,10.0,42.52,30.66
519,50.0,10.0,42.49,30.63
520,50.0,80.0,42.49,30.95
521,50.0,80.0,42.49,30.89
522,50.0,80.0,42.49,30.73
523,50.0,80.0,42.46,30.66
524,50.0,80.0,42.49,30.99
525,50.0,80.0,42.49,30.99
526,50.0,80.0,42.49,30.76
527,50.0,80.0,42.55,30.99
528,50.0,80.0,42.52,31.02
529,50.0,80.0,42.52,30.7
530,50.0,80.0,42.52,30.89
531,50.0,80.0,42.49,30.95
532,50.0,80.0,42.49,31.05
533,50.0,80.0,42.36,30.82
534,50.0,80.0,42.36,30.92
535,50.0,80.0,42.3,31.11
536,50.0,80.0,42.3,31.11
537,50.0,80.0,42.2,31.11
538,50.0,80.0,42.3,31.24
539,50.0,80.0,42.2,31.24
540,50.0,80.0,42.2,31.08
541,50.0,80.0,42.23,31.44
542,50.0,80.0,42.17,31.47
543,50.0,80.0,42.17,31.4
544,50.0,80.0,42.17,31.37
545,50.0,80.0,42.14,31.4
546,50.0,80.0,42.07,31.73
547,50.0,80.0,42.1,31.57
548,50.0,80.0,42.04,31.73
549,50.0,80.0,41.91,31.79
550,50.0,80.0,41.88,31.76
551,50.0,80.0,41.88,31.57
552,50.0,80.0,41.88,31.73
553,50.0,80.0,41.85,31.86
554,50.0,80.0,41.85,31.82
555,50.0,80.0,41.85,31.92
556,50.0,80.0,41.85,32.05
557,50.0,80.0,41.78,32.21
558,50.0,80.0,41.78,32.24
559,50.0,80.0,41.75,32.27
560,50.0,80.0,41.68,32.11
561,50.0,80.0,41.62,32.4
562,50.0,80.0,41.62,32.21
563,50.0,80.0,41.52,32.31
564,50.0,80.0,41.59,32.6
565,50.0,80.0,41.52,32.34
566,50.0,80.0,41.52,32.53
567,50.0,80.0,41.52,32.53
568,50.0,80.0,41.52,32.73
569,50.0,80.0,41.52,32.79
570,50.0,80.0,41.39,32.85
571,50.0,80.0,41.39,32.82
572,50.0,80.0,41.39,32.85
573,50.0,80.0,41.39,32.6
574,50.0,80.0,41.3,32.95
575,50.0,80.0,41.27,33.05
576,50.0,80.0,41.27,33.11
577,50.0,80.0,41.27,33.21
578,50.0,80.0,41.23,33.34
579,50.0,80.0,41.2,33.27
580,50.0,80.0,41.2,33.14
581,50.0,80.0,41.2,33.18
582,50.0,80.0,41.17,33.4
583,50.0,80.0,41.2,33.08
584,50.0,80.0,41.17,33.47
585,50.0,80.0,41.17,33.56
586,50.0,80.0,41.1,33.31
587,50.0,80.0,41.04,33.34
588,50.0,80.0,41.07,33.53
589,50.0,80.0,40.98,33.66
590,50.0,80.0,41.04,33.6
591,50.0,80.0,40.98,33.66
592,50.0,80.0,40.98,33.56
593,50.0,80.0,40.91,33.72
594,50.0,80.0,40.91,33.85
595,50.0,80.0,40.91,33.69
596,50.0,80.0,40.91,33.92
597,50.0,80.0,40.91,33.63
598,50.0,80.0,40.88,33.85
599,50.0,80.0,40.88,34.01
600,50.0,80.0,40.85,33.89
